name,type,url,date_added,source,path,parent_path
Cohere | The leading AI platform for enterprise,url,https://cohere.com/,13358880309579951,other,Other bookmarks >> AI >> Cohere | The leading AI platform for enterprise,Other bookmarks >> AI
Globe.,url,https://globe.engineer/,13359627425915210,other,Other bookmarks >> AI >> Globe.,Other bookmarks >> AI
A Neural Network Playground,url,"https://playground.tensorflow.org/#activation=tanh&batchSize=10&dataset=circle&regDataset=reg-plane&learningRate=0.03&regularizationRate=0&noise=0&networkShape=4,2&seed=0.81508&showTestData=false&discretize=false&percTrainData=50&x=true&y=true&xTimesY=false&xSquared=false&ySquared=false&cosX=false&sinX=false&cosY=false&sinY=false&collectStats=false&problem=classification&initZero=false&hideText=false",13359678406789828,other,Other bookmarks >> AI >> A Neural Network Playground,Other bookmarks >> AI
Reimagining Drug Discovery Process with AI - Isomorphic Labs,url,https://www.isomorphiclabs.com/,13359684999180831,other,Other bookmarks >> AI >> Reimagining Drug Discovery Process with AI - Isomorphic Labs,Other bookmarks >> AI
GitHub - BasedHardware/OpenGlass: Turn any glasses into AI-powered smart glasses,url,https://github.com/BasedHardware/openglass,13360035918231215,other,Other bookmarks >> AI >> GitHub - BasedHardware/OpenGlass: Turn any glasses into AI-powered smart glasses,Other bookmarks >> AI
Runway - Advancing creativity with artificial intelligence.,url,https://runwayml.com/,13360081956350671,other,Other bookmarks >> AI >> Runway - Advancing creativity with artificial intelligence.,Other bookmarks >> AI
crewAI - Platform for Multi AI Agents Systems,url,https://www.crewai.com/,13360563676973025,other,Other bookmarks >> AI >> crewAI - Platform for Multi AI Agents Systems,Other bookmarks >> AI
Deepgram Voice AI: Text to Speech + Speech to Text APIs | Deepgram,url,https://deepgram.com/,13360826657039650,other,Other bookmarks >> AI >> Deepgram Voice AI: Text to Speech + Speech to Text APIs | Deepgram,Other bookmarks >> AI
Dot by New Computer,url,https://new.computer/,13360830468707646,other,Other bookmarks >> AI >> Dot by New Computer,Other bookmarks >> AI
Womp: Free 3D design software,url,https://womp.com/,13360978403069558,other,Other bookmarks >> AI >> Womp: Free 3D design software,Other bookmarks >> AI
Exa,url,https://exa.ai/,13361319789004456,other,Other bookmarks >> AI >> Exa,Other bookmarks >> AI
Suno,url,https://suno.com/,13361582223934998,other,Other bookmarks >> AI >> Suno,Other bookmarks >> AI
SuperAGI - Generalized Super Intelligence Research,url,https://superagi.com/,13361609911426035,other,Other bookmarks >> AI >> SuperAGI - Generalized Super Intelligence Research,Other bookmarks >> AI
Welcome to Spinning Up in Deep RL! — Spinning Up documentation,url,https://spinningup.openai.com/en/latest/,13362036141252004,other,Other bookmarks >> AI >> Welcome to Spinning Up in Deep RL! — Spinning Up documentation,Other bookmarks >> AI
"Private, Permissionless AI",url,https://venice.ai/home,13362239245263175,other,"Other bookmarks >> AI >> Private, Permissionless AI",Other bookmarks >> AI
Cartography of generative AI,url,https://cartography-of-generative-ai.net/,13362479577672915,other,Other bookmarks >> AI >> Cartography of generative AI,Other bookmarks >> AI
Infinite Monkey,url,https://infinitemonkey.com/,13362686336095593,other,Other bookmarks >> AI >> Infinite Monkey,Other bookmarks >> AI
Luma,url,https://lumalabs.ai/,13362725702981784,other,Other bookmarks >> AI >> Luma,Other bookmarks >> AI
"Zeta AI Assistant: Beyond Chatting, Taking Action!",url,https://www.zetalabs.ai/,13362786850501366,other,"Other bookmarks >> AI >> Zeta AI Assistant: Beyond Chatting, Taking Action!",Other bookmarks >> AI
OpenAI Microscope,url,https://microscope.openai.com/models,13363179652365940,other,Other bookmarks >> AI >> OpenAI Microscope,Other bookmarks >> AI
Factory,url,https://www.factory.ai/,13363237512842490,other,Other bookmarks >> AI >> Factory,Other bookmarks >> AI
Kling AI - Kuaishou Kling Video Model Make Imagination Alive,url,https://kling-ai.com/,13364026583118524,other,Other bookmarks >> AI >> Kling AI - Kuaishou Kling Video Model Make Imagination Alive,Other bookmarks >> AI
Sentient,url,https://sentient.foundation/,13364500690953951,other,Other bookmarks >> AI >> Sentient,Other bookmarks >> AI
kyutai: open science AI lab,url,https://kyutai.org/,13364555860109862,other,Other bookmarks >> AI >> kyutai: open science AI lab,Other bookmarks >> AI
Minion AI,url,https://minion.ai/,13364959168816916,other,Other bookmarks >> AI >> Minion AI,Other bookmarks >> AI
Deep-ML,url,https://www.deep-ml.com/,13365122250772580,other,Other bookmarks >> AI >> Deep-ML,Other bookmarks >> AI
Prime Intellect - Commoditizing Compute & Intelligence,url,https://www.primeintellect.ai/,13365200467945379,other,Other bookmarks >> AI >> Prime Intellect - Commoditizing Compute & Intelligence,Other bookmarks >> AI
Eureka Labs,url,https://eurekalabs.ai/,13365638220766604,other,Other bookmarks >> AI >> Eureka Labs,Other bookmarks >> AI
A Neural Network Playground,url,"https://playground.tensorflow.org/#activation=tanh&batchSize=10&dataset=circle&regDataset=reg-plane&learningRate=0.03&regularizationRate=0&noise=0&networkShape=4,2&seed=0.53688&showTestData=false&discretize=false&percTrainData=50&x=true&y=true&xTimesY=false&xSquared=false&ySquared=false&cosX=false&sinX=false&cosY=false&sinY=false&collectStats=false&problem=classification&initZero=false&hideText=false",13365966373896223,other,Other bookmarks >> AI >> A Neural Network Playground,Other bookmarks >> AI
Reworkd AI,url,https://www.reworkd.ai/,13366318963178393,other,Other bookmarks >> AI >> Reworkd AI,Other bookmarks >> AI
Bardeen AI: Workflow Task Automation Software,url,https://www.bardeen.ai/,13366356804677873,other,Other bookmarks >> AI >> Bardeen AI: Workflow Task Automation Software,Other bookmarks >> AI
Clapper,url,https://clapper.app/,13366747123171594,other,Other bookmarks >> AI >> Clapper,Other bookmarks >> AI
Comfy Org,url,https://www.comfy.org/,13366781250618830,other,Other bookmarks >> AI >> Comfy Org,Other bookmarks >> AI
LetzAI,url,https://www.letz.ai/,13366937494924996,other,Other bookmarks >> AI >> LetzAI,Other bookmarks >> AI
FLUX.1 [dev] | AI Playground | fal.ai,url,https://fal.ai/models/fal-ai/flux/dev,13367064215454582,other,Other bookmarks >> AI >> FLUX.1 [dev] | AI Playground | fal.ai,Other bookmarks >> AI
Control AI,url,https://controlai.com/,13367234123582543,other,Other bookmarks >> AI >> Control AI,Other bookmarks >> AI
